id,label,country,Lat ,Lon
AAB,Arrabury,Australia,-26.75,141.0
ABG,Abingdon,Australia,-17.666667,143.2
ABH,Alpha,Australia,-23.7,146.583333
ABM,Bamaga,Australia,-10.950833,142.459444
ABX,Albury,Australia,-36.06003538,146.9200138
ADL,Adelaide,Australia,-34.945,138.530556
ADO,Andamooka,Australia,-30.43097329,137.1655704
AGW,Agnew,Australia,-12.15,142.15
AGY,Argyle Downs,Australia,-16.35,128.75
ALH,Albany,Australia,-35.0,117.9
AMT,Amata,Australia,-26.2,131.116667
AMX,Ammaroo,Australia,-21.74,135.24
ANZ,Angus Downs,Australia,-25.083333,132.166667
ARM,Armidale,Australia,-30.51231199,151.667476
ARY,Ararat,Australia,-37.27954751,142.9099743
ASP,Alice Springs,Australia,-23.8,133.883333
AUD,Augustus Downs,Australia,-18.666667,139.933333
AUU,Aurukun,Australia,-13.353889,141.720833
AVG,Auvergne,Australia,-15.75,129.916667
AVV,Melbourne (AU),Australia,-38.033333,144.466667
AWN,Alton Downs,Australia,-26.483333,139.316667
AWP,Austral Downs,Australia,-20.333333,137.25
AXC,Aramac,Australia,-23.083333,145.25
AYD,Alroy Downs,Australia,-19.3,135.95
AYL,Anthony Lagoon,Australia,-18.016667,135.55
AYQ,Ayers Rock,Australia,-25.333333,131.033333
AYR,Ayr,Australia,-19.57024087,147.3994677
BBE,Big Bell,Australia,-27.416667,117.666667
BCI,Barcaldine,Australia,-23.56617267,145.2833695
BCK,Bolwarra,Australia,-17.4,144.166667
BCZ,Bickerton Island,Australia,-13.783333,137.8
BDB,Bundaberg,Australia,-24.87906411,152.3508968
BDD,Badu Island,Australia,-10.116667,142.133333
BDW,Bedford Downs,Australia,-17.3,127.466667
BEE,Beagle Bay,Australia,-12.983333,141.6
BEO,Belmont,Australia,-33.033333,151.666667
BEU,Bedourie,Australia,-24.34958738,139.4666186
BFC,Bloomfield River,Australia,-15.9,145.333333
BHQ,Broken Hill,Australia,-31.94995034,141.4331136
BHS,Bathurst (AU),Australia,-33.416667,149.65
BHT,Brighton Downs,Australia,-23.5,141.633333
BIP,Bulimba,Australia,-16.15,143.75
BIW,Billiluna,Australia,-19.583333,127.633333
BKP,Barkly Downs,Australia,-21.033333,138.25
BKQ,Blackall,Australia,-24.416667,145.416667
BLN,Benalla,Australia,-36.55,145.983333
BLS,Bollon,Australia,-28.033333,147.366667
BLT,Blackwater,Australia,-23.583333,148.883333
