,Source,Source City,Source Country,Target,Target City,Target Country,Weight
13,SOV,Seldovia,USA,KEB,Nanwalek,USA,144
14,HOM,Homer,USA,SOV,Seldovia,USA,184
15,SOV,Seldovia,USA,HOM,Homer,USA,40
16,PGM,Port Graham,USA,HOM,Homer,USA,144
17,KEB,Nanwalek,USA,PGM,Port Graham,USA,144
18,AET,Allakaket,USA,AKP,Anaktuvuk Pass,USA,36
19,ANC,Anchorage,USA,GAL,Galena,USA,513
20,ANI,Aniak,USA,SHX,Shageluk,USA,243
21,BTI,Barter Island,USA,FAI,Fairbanks,USA,513
22,BTI,Barter Island,USA,SCC,Prudhoe Bay/Deadhorse,USA,513
23,FAI,Fairbanks,USA,BTI,Barter Island,USA,513
24,ANI,Aniak,USA,RSH,Russian Mission,USA,243
25,ANC,Anchorage,USA,ANI,Aniak,USA,1102
26,ANI,Aniak,USA,ANC,Anchorage,USA,589
27,ANI,Aniak,USA,HCR,Holy Cross,USA,522
28,ANI,Aniak,USA,BET,Bethel,USA,513
29,GAL,Galena,USA,ANC,Anchorage,USA,513
30,SHX,Shageluk,USA,ANI,Aniak,USA,522
31,AET,Allakaket,USA,FAI,Fairbanks,USA,90
32,AIN,Wainwright,USA,BRW,Barrow,USA,243
33,ANI,Aniak,USA,KLG,Kalskag,USA,243
34,FAI,Fairbanks,USA,FYU,Fort Yukon,USA,950
35,FYU,Fort Yukon,USA,FAI,Fairbanks,USA,950
36,ANC,Anchorage,USA,DLG,Dillingham,USA,589
37,DLG,Dillingham,USA,ANC,Anchorage,USA,589
38,GAL,Galena,USA,KYU,Koyukuk,USA,243
39,KYU,Koyukuk,USA,GAL,Galena,USA,243
40,NUI,Nuiqsut,USA,SCC,Prudhoe Bay/Deadhorse,USA,513
41,RBY,Ruby,USA,TAL,Tanana,USA,243
42,SCC,Prudhoe Bay/Deadhorse,USA,NUI,Nuiqsut,USA,513
43,TAL,Tanana,USA,RBY,Ruby,USA,243
44,BRW,Barrow,USA,NUI,Nuiqsut,USA,513
45,NUI,Nuiqsut,USA,BRW,Barrow,USA,513
46,RSH,Russian Mission,USA,KLG,Kalskag,USA,243
47,FAI,Fairbanks,USA,TAL,Tanana,USA,243
48,SCC,Prudhoe Bay/Deadhorse,USA,BTI,Barter Island,USA,513
49,TAL,Tanana,USA,FAI,Fairbanks,USA,243
50,AIN,Wainwright,USA,PIZ,Point Lay,USA,243
51,AKP,Anaktuvuk Pass,USA,FAI,Fairbanks,USA,153
52,FAI,Fairbanks,USA,AKP,Anaktuvuk Pass,USA,117
53,GAL,Galena,USA,HSL,Huslia,USA,513
54,GAL,Galena,USA,NUL,Nulato,USA,589
55,HSL,Huslia,USA,GAL,Galena,USA,513
56,KAL,Kaltag,USA,NUL,Nulato,USA,513
