Source,Target,Weights
HNL,LIH,14913.75787
DTW,MBS,6020.321358
ORD,MKE,5442.42499
HOU,DAL,5233.134494
PHL,ABE,5162.264811
LAX,SAN,4575.77015
BWI,ORF,4240.938477
LAX,SNA,4217.067566
FLL,TPA,4035.151732
BOS,LGA,3844.899433
AUS,DAL,3783.209939
CMH,DTW,3543.132881
DEN,ASE,3451.316689
FLL,MCO,3367.80902
MKE,MDW,3352.055776
SEA,BLI,3308.77235
DTW,TOL,3191.807809
LGA,DCA,3170.741336
CLT,AVL,3059.919266
STL,SPI,3046.298714
DTW,LAN,3041.903184
BID,WST,2995.838755
ATL,CHA,2838.087709
PHL,MDT,2801.531141
LAX,OXR,2725.980208
DAY,CVG,2693.710216
ATL,TYS,2685.528648
LAX,OAK,2532.244721
JNU,SIT,2519.814854
IAH,EFD,2412.712619
ATL,MCN,2386.428994
SJC,RNO,2322.076007
PHL,SBY,2267.331402
IDA,PIH,2234.041745
BWI,ISP,2211.377499
HOU,SAT,2205.373861
CVG,LEX,2143.920197
MSP,STC,2047.932766
ORD,ATW,2000.858665
HNL,ITO,1990.978027
HLN,GTF,1988.404038
OAK,RNO,1966.496149
DFW,ACT,1949.767488
LPS,FRD,1934.026074
TUL,DAL,1860.029074
DTW,FNT,1854.730759
LAX,CLD,1850.56931
MKE,MSN,1832.129558
LKE,KEH,1828.98769
MDW,SBN,1825.179599
TPA,PBI,1813.523921
ORD,MSN,1806.394684
ATL,GSP,1768.199649
CLT,ROA,1746.968843
ATL,HSV,1737.855151
IAH,DAL,1728.729276
KEB,PGM,1723.551914
KTN,MTM,1723.404182
IAH,SAT,1722.198042
CLT,SAV,1716.235391
DTW,GRR,1620.052323
SEA,YKM,1612.646247
SEA,CLM,1576.984726
PSC,PDT,1545.233356
HNL,KOA,1542.218928
OGG,KOA,1529.372055
MVY,EWB,1504.537538
MKE,ATW,1489.251675
OGG,MKK,1487.097462
DFW,TYR,1480.510311
DEN,COS,1478.561631
MIA,RSW,1471.567409
SAN,PHX,1467.202142
RDU,CLT,1459.303916
ORD,GRR,1457.071209
BDL,BWI,1447.23598
DFW,AUS,1413.328578
MSP,BRD,1411.626257
BWI,BUF,1396.798696
PHL,ALB,1387.031021
PVD,BWI,1385.466923
ATL,AGS,1378.984283
BTM,BZN,1372.466777
AUS,HOU,1355.808591
LAX,BFL,1353.588935
HOU,HRL,1350.258404
FAT,VIS,1349.985439
MSP,RST,1338.941361
PHX,FLG,1337.071651
SAT,DAL,1329.521928
DTW,MDW,1328.938795
MCO,TPA,1318.125086
PIT,LBE,1301.814569
MEM,TUP,1297.194491
ORD,IND,1295.141635
BWI,RDU,1280.89218
SFO,MRY,1280.607166
CLT,CAE,1280.310754
FOD,MCW,1275.472382
BWI,ALB,1270.65775
BOS,PVC,1264.210594
IAD,CHO,1248.471387
ORF,PHF,1226.796283
ACK,EWB,1221.772336
EAU,MSP,1219.581752
BDL,EWR,1218.606113
CLE,CMH,1202.535885
GRR,MDW,1175.393291
MQT,CMX,1164.282426
CLT,FAY,1162.327798
CLT,AGS,1148.222759
CLE,PIT,1147.25412
ORD,MLI,1141.73762
SEA,EAT,1139.071592
SEA,GEG,1132.32121
CLT,TRI,1116.815584
PDX,SEA,1115.852691
ATL,ABY,1113.947018
ESD,OTS,1111.372201
BWI,PHL,1108.932566
LGA,PHL,1097.672362
PIT,MGW,1096.827263
LPS,OTS,1095.868283
CLT,HHH,1091.175598
TUS,PHX,1089.097577
BMI,ORD,1087.334119
ORD,PIA,1078.027738
ACV,CEC,1063.554309
PIT,FKL,1063.432084
SDF,MDW,1045.695747
LAS,RNO,1031.478769
ORD,GRB,1024.131067
IAD,MDT,1019.745415
PHL,ISP,1017.603087
JAX,TPA,1005.210206
PHL,ACY,999.4230498
RIC,IAD,998.1371397
PDX,EUG,994.5259954
DTW,CAK,993.214922
BWI,MHT,976.759926
SLC,LAS,969.5836542
PHL,BGM,968.4544012
WDG,PNC,966.5389649
CRP,IAH,965.2756112
PIT,SCE,963.4960968
BOS,DCA,961.7804624
DFW,LAW,955.1370827
MDW,MSN,945.1585344
OKC,DAL,939.9056027
ESD,LPS,928.2204639
ESD,FRD,917.5938486
ROC,JFK,915.1294382
APN,CIU,908.2589834
JFK,BUF,900.4651113
OAK,LGB,900.3358261
DCA,ORF,899.4989764
AZO,DTW,898.8635506
PDX,RDM,896.2304927
ESD,BLI,893.1963211
LAX,SMX,891.6624818
CVG,FWA,888.0438205
EWR,ALB,877.2139318
ATL,VPS,870.1685437
CMH,CVG,864.6343933
BOS,HYA,859.888083
MHK,SLN,851.4905827
PHL,SWF,847.7950666
DFW,SAT,839.4399777
ORD,CMI,839.3789203
VPS,PFN,832.5926243
CLT,GSO,827.235429
BWI,PIT,813.4780936
SLC,PIH,811.0264878
JFK,SYR,807.3029323
DEN,CYS,795.2414967
IAH,LFT,792.854449
STL,CMI,790.755932
SOV,HOM,789.4418681
IAD,SCE,784.573378
STL,PIA,777.3050111
BTV,PLB,775.0509041
DAY,DTW,773.9133169
CLE,MDW,773.7218034
CVG,TYS,770.0246635
IAH,BPT,768.7706818
ONT,SMF,756.9371512
MSP,MCW,749.7264999
CLE,DTW,732.5291779
AIA,CDR,725.3370231
ORD,AZO,718.7829371
SLC,SUN,718.0556684
SJC,SAN,716.0595494
RIC,CLT,715.7124367
MEM,JAN,714.70025
ORD,SPI,713.099252
CMH,MDW,707.9919329
MCO,PIE,704.1424739
CVG,TOL,704.0425945
MSP,LSE,701.1758581
PIT,PKB,695.2269425
