Source,Target,Weights,Fuel_Impact
HNL,LIH,14913.75787,1991.5133212565129
DTW,MBS,6020.321358,1069.783626153336
ORD,MKE,5442.42499,1400.075145263303
HOU,DAL,5233.134494,190.23129087620197
PHL,ABE,5162.264811,1565.7448871593956
LAX,SAN,4575.77015,577.7503439287664
BWI,ORF,4240.938477,331.5188226155334
LAX,SNA,4217.067566,1602.131428543482
FLL,TPA,4035.151732,196.12210620340431
BOS,LGA,3844.899433,163.38695457157368
AUS,DAL,3783.209939,216.45208156129985
CMH,DTW,3543.132881,289.6582974527087
DEN,ASE,3451.316689,277.01364854821804
FLL,MCO,3367.80902,213.37455029902196
MKE,MDW,3352.055776,703.1463032269018
SEA,BLI,3308.77235,601.4048816070651
DTW,TOL,3191.807809,998.7879499990231
LGA,DCA,3170.741336,107.68638194506238
CLT,AVL,3059.919266,370.49326983011144
STL,SPI,3046.298714,567.3719646632292
DTW,LAN,3041.903184,564.2179865896007
BID,WST,2995.838755,1412.5039102190358
ATL,CHA,2838.087709,398.82857219192863
PHL,MDT,2801.531141,409.5052037226721
LAX,OXR,2725.980208,804.2173263197066
DAY,CVG,2693.710216,780.2230890077362
ATL,TYS,2685.528648,200.33511439054567
LAX,OAK,2532.244721,42.54985618651494
JNU,SIT,2519.814854,371.0534653432396
IAH,EFD,2412.712619,1021.2600317368323
ATL,MCN,2386.428994,474.5869453437315
SJC,RNO,2322.076007,114.41259936130228
PHL,SBY,2267.331402,329.24245455170256
IDA,PIH,2234.041745,733.0996648937088
BWI,ISP,2211.377499,67.60382718762152
HOU,SAT,2205.373861,98.67866145538717
CVG,LEX,2143.920197,528.3211276351082
MSP,STC,2047.932766,422.4444615967978
ORD,ATW,2000.858665,154.1442860850565
HNL,ITO,1990.978027,88.53733369001145
HLN,GTF,1988.404038,437.94313458920504
OAK,RNO,1966.496149,98.01062206416161
DFW,ACT,1949.767488,364.13728512388076
LPS,FRD,1934.026074,958.1088256010264
TUL,DAL,1860.029074,70.89565894623959
DTW,FNT,1854.730759,529.2347981499693
LAX,CLD,1850.56931,310.1998886092285
MKE,MSN,1832.129558,295.27610110284314
LKE,KEH,1828.98769,899.246228502473
MDW,SBN,1825.179599,279.93954360622365
TPA,PBI,1813.523921,105.29097874032776
ORD,MSN,1806.394684,205.22400973713013
ATL,GSP,1768.199649,118.42916662359372
CLT,ROA,1746.968843,144.1751766054194
ATL,HSV,1737.855151,115.71419642067342
IAH,DAL,1728.729276,75.14092600308992
KEB,PGM,1723.551914,855.5965440529012
KTN,MTM,1723.404182,825.0338818069807
IAH,SAT,1722.198042,78.48962886022643
CLT,SAV,1716.235391,81.16908943882639
DTW,GRR,1620.052323,116.95942643210489
SEA,YKM,1612.646247,163.45870004803902
SEA,CLM,1576.984726,273.22355805750175
PSC,PDT,1545.233356,528.9645824489638
HNL,KOA,1542.218928,114.34803954077972
OGG,KOA,1529.372055,306.7111045041666
MVY,EWB,1504.537538,635.1383848779234
MKE,ATW,1489.251675,249.0869892007117
OGG,MKK,1487.097462,482.00934206664886
DFW,TYR,1480.510311,171.5110157693187
DEN,COS,1478.561631,353.0595116183574
MIA,RSW,1471.567409,194.04217203995836
SAN,PHX,1467.202142,26.18834702365011
RDU,CLT,1459.303916,129.72514130588831
ORD,GRR,1457.071209,104.71818628725057
BDL,BWI,1447.23598,29.51402054874419
DFW,AUS,1413.328578,81.19909226457462
MSP,BRD,1411.626257,170.37351993663592
BWI,BUF,1396.798696,35.60304009671312
PHL,ALB,1387.031021,61.567302004621475
PVD,BWI,1385.466923,19.459839763778298
ATL,AGS,1378.984283,96.68485118858123
BTM,BZN,1372.466777,205.2817190604393
AUS,HOU,1355.808591,96.5855893199862
LAX,BFL,1353.588935,198.2903685660955
HOU,HRL,1350.258404,36.09720751794578
FAT,VIS,1349.985439,497.9400781764565
MSP,RST,1338.941361,271.63090431437706
PHX,FLG,1337.071651,166.61328984423653
SAT,DAL,1329.521928,45.43097967335644
DTW,MDW,1328.938795,32.38965485574632
MCO,TPA,1318.125086,243.68215173685138
PIT,LBE,1301.814569,374.77248377507306
MEM,TUP,1297.194491,199.56280205753214
ORD,IND,1295.141635,72.14588622231722
BWI,RDU,1280.89218,39.13660552664354
SFO,MRY,1280.607166,234.27924476400338
CLT,CAE,1280.310754,240.9164648140616
FOD,MCW,1275.472382,271.8632683619709
BWI,ALB,1270.65775,29.027563149601708
BOS,PVC,1264.210594,371.50823471868745
IAD,CHO,1248.471387,216.72424980182575
ORF,PHF,1226.796283,535.9790314437001
ACK,EWB,1221.772336,317.7368330056294
EAU,MSP,1219.581752,154.03683203110756
BDL,EWR,1218.606113,128.01731536220603
CLE,CMH,1202.535885,147.56046473817304
GRR,MDW,1175.393291,87.57285679670102
MQT,CMX,1164.282426,214.3506590425272
CLT,FAY,1162.327798,120.2818651591125
CLT,AGS,1148.222759,101.22969171031913
CLE,PIT,1147.25412,128.28382218342077
ORD,MLI,1141.73762,70.462961760021
SEA,EAT,1139.071592,113.85434293356779
SEA,GEG,1132.32121,23.753220251290795
CLT,TRI,1116.815584,109.44867042737108
PDX,SEA,1115.852691,122.79361224726479
ATL,ABY,1113.947018,101.71130814327852
ESD,OTS,1111.372201,511.2368249314219
BWI,PHL,1108.932566,157.41569839207168
LGA,PHL,1097.672362,148.7511869944569
PIT,MGW,1096.827263,301.51128951005717
LPS,OTS,1095.868283,497.072555245071
CLT,HHH,1091.175598,55.102933450886134
TUS,PHX,1089.097577,138.63178266588167
BMI,ORD,1087.334119,127.1285469258721
ORD,PIA,1078.027738,93.72127453566932
ACV,CEC,1063.554309,330.744961485199
PIT,FKL,1063.432084,275.5574555810838
SDF,MDW,1045.695747,28.918851037614893
LAS,RNO,1031.478769,14.934705935309145
ORD,GRB,1024.131067,68.1067819815659
IAD,MDT,1019.745415,167.72269534204622
PHL,ISP,1017.603087,79.05909623937872
JAX,TPA,1005.210206,64.69762823671417
PHL,ACY,999.4230498,312.92181469892694
RIC,IAD,998.1371397,160.6899596251736
PDX,EUG,994.5259954,137.3724938242664
DTW,CAK,993.214922,78.41620677556205
BWI,MHT,976.759926,11.491652249245892
SLC,LAS,969.5836542,14.476769572681542
PHL,BGM,968.4544012,75.44272258734553
WDG,PNC,966.5389649,303.50798265924425
CRP,IAH,965.2756112,45.674363016709535
PIT,SCE,963.4960968,71.6853072261857
BOS,DCA,961.7804624,9.659791748497168
DFW,LAW,955.1370827,82.63467815080604
MDW,MSN,945.1585344,88.16863947301499
OKC,DAL,939.9056027,58.62127020664818
ESD,LPS,928.2204639,434.2707810292186
ESD,FRD,917.5938486,424.38430997992447
ROC,JFK,915.1294382,20.844829964864857
APN,CIU,908.2589834,130.44503176569074
JFK,BUF,900.4651113,14.059464153601052
OAK,LGB,900.3358261,13.746516751043272
DCA,ORF,899.4989764,81.59524087684696
AZO,DTW,898.8635506,74.94950673353311
PDX,RDM,896.2304927,91.69281918649702
ESD,BLI,893.1963211,402.1167681565171
LAX,SMX,891.6624818,73.21012720472392
CVG,FWA,888.0438205,81.06721084616987
EWR,ALB,877.2139318,82.74239592939477
ATL,VPS,870.1685437,28.359299418157693
CMH,CVG,864.6343933,84.95370841793593
BOS,HYA,859.888083,215.06908531794252
MHK,SLN,851.4905827,235.554325037012
PHL,SWF,847.7950666,82.31292658482805
DFW,SAT,839.4399777,29.238982413144267
ORD,CMI,839.3789203,85.17371516798735
VPS,PFN,832.5926243,233.87667950526355
CLT,GSO,827.235429,159.44046016116653
BWI,PIT,813.4780936,26.347611433607433
SLC,PIH,811.0264878,71.65184792168446
JFK,SYR,807.3029323,32.444146980295905
DEN,CYS,795.2414967,148.5923491727039
IAH,LFT,792.854449,32.23682960395064
STL,CMI,790.755932,56.444750312920355
SOV,HOM,789.4418681,372.29298869283485
IAD,SCE,784.573378,85.58890232114487
STL,PIA,777.3050111,73.3612287831871
BTV,PLB,775.0509041,329.33328068072865
DAY,DTW,773.9133169,49.91181850442871
CLE,MDW,773.7218034,10.762745479616788
CVG,TYS,770.0246635,34.87870484761842
IAH,BPT,768.7706818,150.69055614618887
ONT,SMF,756.9371512,7.415150526651515
MSP,MCW,749.7264999,93.93212310007999
CLE,DTW,732.5291779,94.07415787099977
AIA,CDR,725.3370231,234.66271055874554
ORD,AZO,718.7829371,55.553646310502266
SLC,SUN,718.0556684,25.424257539241907
SJC,SAN,716.0595494,7.997087752022724
RIC,CLT,715.7124367,19.228389341036706
MEM,JAN,714.70025,41.52816645135346
ORD,SPI,713.099252,41.0089147729964
CMH,MDW,707.9919329,12.704090050239957
MCO,PIE,704.1424739,111.07003216144642
CVG,TOL,704.0425945,43.02742837251443
