id,label,country,Lat ,Lon
ABZ,Aberdeen (GB),United Kingdom,57.2,-2.2
ACI,Alderney,United Kingdom,49.7,-2.216667
ADX,Leuchars,United Kingdom,56.366667,-2.866667
BBP,Bembridge,United Kingdom,50.683333,-1.083333
BBS,Blackbushe,United Kingdom,51.330556,-0.844444
BEB,Benbecula,United Kingdom,57.483333,-7.366667
BEQ,Honington,United Kingdom,52.35,0.766667
BFS,Belfast,United Kingdom,54.590833,-5.916667
BHD,Belfast,United Kingdom,54.618056,-5.8725
BHX,Birmingham (GB),United Kingdom,52.45,-1.75
BLK,Blackpool Airport,United Kingdom,53.771667,-3.028611
BOH,Bournemouth,United Kingdom,50.72999005,-1.900049684
BOL,Bally Kelly,United Kingdom,55.166667,-6.766667
BRF,Bradford,United Kingdom,53.80003522,-1.749981325
BRR,Barra,United Kingdom,57.016667,-7.433333
BRS,Bristol (GB) 00,United Kingdom,51.383333,-2.716667
BSH,Brighton,United Kingdom,50.83034568,-0.169974407
BUT,Burtonwood,United Kingdom,53.416667,-2.583333
BWF,Walney Island,United Kingdom,54.116667,-3.233333
BWY,Bentwaters St,United Kingdom,52.1,1.316667
BZZ,Raf Brize Norton,United Kingdom,51.75,-1.583889
CAL,Campbeltown,United Kingdom,55.416667,-5.6
CAX,Carlisle,United Kingdom,54.87999514,-2.929986818
CBG,Cambridge,United Kingdom,52.20039125,0.116623086
CEG,Chester,United Kingdom,53.20002016,-2.919987428
COL,Coll,United Kingdom,56.616667,-6.616667
CRN,Cromarty,United Kingdom,57.65,-4.05
CSA,Colonsay,United Kingdom,56.058889,-6.243889
CVT,West Midlands International,United Kingdom,52.369722,-1.479722
CWL,Cardiff (GB) 00,United Kingdom,51.4,-3.35
DND,Dundee,United Kingdom,56.47038902,-3.000008384
DOC,Dornoch,United Kingdom,57.883333,-4.083333
DSA,Doncaster/Sheffield,United Kingdom,53.474722,-1.004444
EDI,Edinburgh,United Kingdom,55.94832786,-3.219090618
EMA,Nottingham,United Kingdom,52.831111,-1.328056
ENK,Enniskillen St. Angelo,United Kingdom,54.398889,-7.633333
EOI,Eday,United Kingdom,59.2,-2.783333
ESH,Shoreham,United Kingdom,50.835278,-0.301944
EWY,Greenham RAF,United Kingdom,51.4,-1.316667
EXT,Exeter (GB) 00,United Kingdom,50.733333,-3.416667
FAB,Farnborough,United Kingdom,51.266667,-0.733333
FEA,Fetlar,United Kingdom,60.583333,-0.966667
FIE,Fair Isle,United Kingdom,59.5,-1.666667
FKH,Sculthorp RAF,United Kingdom,52.833333,-0.833333
FLH,Flotta,United Kingdom,58.5,-3.0
FOA,Foula,United Kingdom,60.116667,-2.05
FSS,Kinloss,United Kingdom,57.65,-3.566667
FZO,Filton,United Kingdom,51.519444,-2.590833
GCI,Guernsey,United Kingdom,49.433333,-2.6
GLA,Glasgow (GB),United Kingdom,55.871944,-4.433056
GLO,Gloucester/Cheltenham,United Kingdom,51.894167,-2.167222
GSY,Binbrook,United Kingdom,51.333333,0.033333
HAW,Haverfordwest,United Kingdom,51.816667,-4.966667
HEN,Hendon,United Kingdom,51.583333,-0.233333
HLY,Anglesey Airport,United Kingdom,53.316667,-4.633333
HOY,Hoy Island,United Kingdom,58.833333,-3.3
HRT,Linton-On-Ouse,United Kingdom,54.05,-1.25
HTF,Hatfield,United Kingdom,51.765,-0.248333
HUY,Humberside,United Kingdom,53.574444,-0.350833
HYC,High Wycombe,United Kingdom,51.633333,-0.766667
ILY,Islay,United Kingdom,55.683333,-6.25
INV,Inverness,United Kingdom,57.46712404,-4.23326644
IOM,Isle of Man,United Kingdom,54.083333,-4.623889
IPW,Ipswich,United Kingdom,52.07034751,1.169995482
ISC,Isles of Scilly,United Kingdom,49.9,-6.4
JER,Jersey,United Kingdom,49.208056,-2.195556
KNF,Marham RAF,United Kingdom,51.366667,-0.283333
KOI,Kirkwall,United Kingdom,58.96698081,-2.950011435
KYN,Milton Keynes,United Kingdom,51.716667,-1.083333
LBA,Leeds Bradford,United Kingdom,53.865833,-1.660556
LCY,London (GB),United Kingdom,51.505278,0.055278
LDY,Derry,United Kingdom,55.042778,-7.161111
LEQ,Land's End,United Kingdom,50.1,-5.666667
LGW,London (GB),United Kingdom,51.148056,-0.190278
LHR,London (GB),United Kingdom,51.469722,-0.451389
LKZ,Lakenheath RAF,United Kingdom,52.366667,-1.4
LMO,RAF Station,United Kingdom,57.716667,-3.266667
LPL,Liverpool,United Kingdom,53.41600181,-2.917997886
LSI,Shetland Islands,United Kingdom,59.878889,-1.295556
LTN,London (GB),United Kingdom,51.866667,-0.366667
LWK,Shetland Islands,United Kingdom,60.2,-1.125
LYX,Lydd,United Kingdom,50.95,0.91
MAN,Manchester (GB),United Kingdom,53.35,-2.266667
MHZ,Mildenhall Arpt,United Kingdom,51.416667,-1.7
MME,Durham,United Kingdom,54.398889,-7.633333
MSE,Kent International,United Kingdom,51.366667,1.35
NCL,Newcastle (GB),United Kingdom,51.366667,1.35
NDY,Sanday,United Kingdom,59.466667,-2.65
NHT,Northolt,United Kingdom,51.55,-0.383333
NQT,Nottingham Airport,United Kingdom,52.966667,-1.166667
NQY,Newquay,United Kingdom,50.440556,-5.995278
NRL,North Ronaldsay,United Kingdom,59.366667,-2.433333
NWI,Norwich,United Kingdom,52.63036501,1.300013386
OBN,Oban,United Kingdom,56.583333,-5.5
OKH,Cottesmor RAF,United Kingdom,52.666667,-0.733333
ORM,Northampton,United Kingdom,52.3,-0.783333
OUK,Out Skerries,United Kingdom,60.42,0.762
