id,label,country,Lat ,Lon
0A7,Hendersonville Airport,United States,35.316667,-82.45
AAP,Andrau Airpark,United States,29.723889,-95.588333
ABE,Allentown/Bethlehem/Easton,United States,40.652222,-75.440278
ABI,Abilene,United States,32.416667,-99.683333
ABL,Ambler,United States,67.08648521,-157.8514091
ABQ,Albuquerque,United States,35.10497479,-106.6413308
ABR,Aberdeen (US),United States,45.45,-98.433333
ABY,Albany (US) GA,United States,31.533333,-84.2
ACB,Antrim County,United States,44.983333,-85.202778
ACK,Nantucket,United States,41.266667,-70.066667
ACT,Waco,United States,31.616667,-97.233333
ACV,Arcata/Eureka,United States,40.983333,-124.1
ACY,Atlantic City,United States,39.466667,-74.583333
ADG,Lenawee County,United States,41.9,-84.033333
ADK,Adak Island,United States,51.878056,-176.646111
ADM,Ardmore Municipal Arpt,United States,34.966667,-86.883333
ADQ,Kodiak,United States,57.75,-152.483333
ADR,Andrews,United States,33.45,-79.566667
ADS,Addison Airport,United States,32.968611,-96.836389
ADW,Camp Springs,United States,38.8,-76.916667
AED,Aleneva,United States,58.0,-152.9
AEL,Albert Lea,United States,43.64778668,-93.36870427
AET,Allakaket,United States,66.56548342,-152.6454995
AEX,Alexandria (US),United States,31.3275,-92.548611
AFF,United StatesF Academy Airstrip,United States,38.969722,-104.813056
AFW,Fort Worth Alliance,United States,32.987778,-97.318889
AGC,Allegheny County,United States,40.35,-79.933333
AGN,Angoon,United States,57.5,-134.583333
AGS,Augusta (US) GA,United States,33.366667,-81.966667
AHC,Amedee AAF,United States,60.572222,-78.0
AHN,Athens (US),United States,33.95,-83.333333
AHT,Amchitka,United States,51.5,-120.0
AIA,Alliance,United States,42.10139528,-102.8701915
AIB,Anita Bay,United States,56.233333,-132.383333
AIN,Wainwright,United States,70.63688865,-160.0383041
AIV,George Downer,United States,33.1,-88.2
AIY,Bader Field,United States,39.366667,-74.45
AIZ,Lee C Fine Memorial,United States,38.1,-92.55
AKB,Atka,United States,52.19648968,-174.2004887
AKC,Fulton International,United States,41.0,-81.0
